thumbnail,id,date,issue_number,issue_id,page,url,download_image,text
"{""img_src"": ""https://nla.gov.au/nla.obj-491229760/image?WID=500"", ""width"": 250}",nla.obj-491229760,1893-09-09,708,nla.obj-491222053,5,https://nla.gov.au/nla.obj-491229760,https://nla.gov.au/nla.obj-491229760/image,"

The Bulletin
Registered at the General Post Office, Sydney, for transmission by post as a Newspaper.
Vol. 13-W0.708,
SATURDAY, SEPTEMBER 9, 1893.
Price f 6d,
Fzfv
THE RETURN OF THE NATIVE.
TOBY BARTON (log.): “Ah! yes, by Jove! there he is, sure enough, the dear old fellow, putting his foot into his mouth as usual!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-542606902/image?WID=500"", ""width"": 250}",nla.obj-542606902,1946-06-19,3462,nla.obj-542540974,11,https://nla.gov.au/nla.obj-542606902,https://nla.gov.au/nla.obj-542606902/image,"

The Bulletin
Vol. 67—No. 3462
Wednesday, June 19, 1946
THE GENERAL-ELECTION JUMP.
“Tail up, Horsie-your’ve three months to get over it!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-489407831/image?WID=500"", ""width"": 250}",nla.obj-489407831,1894-06-16,748,nla.obj-489324736,5,https://nla.gov.au/nla.obj-489407831,https://nla.gov.au/nla.obj-489407831/image,"

The Bulletin
Registered at the General Post Office, Sydney, for transmission by post as a Newspaper.
Vol. 14—So. 748.
SATURDAY, JUNE 16, 1894.
Price, Gci,
hloPlr^f""
A
jvJ
df
-/T/f
&k ? oc/ l-_^
MOUNT HOAXLEY: SOME MIXED METAPHOR.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-668342601/image?WID=500"", ""width"": 250}",nla.obj-668342601,1899-02-04,990,nla.obj-668323375,7,https://nla.gov.au/nla.obj-668342601,https://nla.gov.au/nla.obj-668342601/image,"

The Bulletin
Registered at the General Post Office, Sydney , for Transmission by Post as a Newspaper.
Vol. 20.—N0. 990.
SATURDAY, FEBRUARY 4, 1890.
Prig* 6d.
“THE BULLETIN’S” MAP OF AUSTRALIA— SHOWING THE PROGRESS OF FEDERATION UP TO DATE.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-568144558/image?WID=500"", ""width"": 250}",nla.obj-568144558,1937-09-08,3004,nla.obj-568115216,11,https://nla.gov.au/nla.obj-568144558,https://nla.gov.au/nla.obj-568144558/image,"

TWO CHILD ROLANDS.
Child Roland to the Dark Tower came,
His word was still Fie, foh and fum.
“King Lear.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-538986717/image?WID=500"", ""width"": 250}",nla.obj-538986717,1945-02-14,3392,nla.obj-538971139,5,https://nla.gov.au/nla.obj-538986717,https://nla.gov.au/nla.obj-538986717/image,"

The Bulletin
Vol. 66—No. 3392
Wednesday, February 14, 1945
THE HOUSE THE JAP BUILT.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-489134301/image?WID=500"", ""width"": 250}",nla.obj-489134301,1894-02-03,729,nla.obj-489066551,5,https://nla.gov.au/nla.obj-489134301,https://nla.gov.au/nla.obj-489134301/image,"

The Bulletin
Registered at the General Post Office, Sydney, for transmission by post as a Newspaper.
Vol. 14 —H 0.729.
SATURDAY, FEBRUARY 3 § 1894.
""Price, 6d.
N.S.W. DIRTY LINEN.
CHARWOMAN DIBBS: ""Oh, well, it's nothing serious. You’ve spilt a little whisky on it, that’s all—it soon evaporates I'll hang it on the
houseton to air. Just you lie in bed quietly until it's dry.""
jJo A .
"
"{""img_src"": ""https://nla.gov.au/nla.obj-692068373/image?WID=500"", ""width"": 250}",nla.obj-692068373,1909-05-27,1528,nla.obj-692062071,7,https://nla.gov.au/nla.obj-692068373,https://nla.gov.au/nla.obj-692068373/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by p ost as a Newspaper.
Von. 30.—N0. 1528.
THURSDAY, MAY *27, 1909.
Piuos 6d
RAIL-HEAD.
[FOR THE BULLETIN.]
Sir Charles Metcalfe, who is leaving England for the Congo Border in connection with the further extension of the Cape to Cairo Railway, states that work on
the new section has already begun, and that 2000 tons of permanent way are being shipped weekly. Rail=head is now at Broken Hill, 375 miles north of the Victoria
Falls. It is expected that the new section will be completed this year, and that copper from the mines at Bwana Macubwa, near the frontier, will be shipped out
along the Rhodesian system before 1910 .—“Standard of Empire ” ( London) 19/3T09.
Australia’s Transcontinental Railway, constructed as far as Oodnadatta, 688 miles north of Adelaide, in 1891, is at a standstill. It has stood still for 18 years,
—Disgraceful fact
f 1 1HE Pharaohs rot in Egypt—Cleopatra’s dust is scattered,
Blown athwart the old Sahara by the sulphur-breath’d
simoon;
But I hear the fist of Progress! It has thundered, it has battered,
Rolling cataracts of mummy down the hurried slopes of doom !
Progress wins! The World is harnessed, tied with steel’s com-
pacting tether—
Past the Ganges and the Jumna swing to-day the freighted cars;
Where Zambesi’s storied waters plunge them down to regions
nether,
Flames the white Man’s engine-furnace splashing night with
funnelled stars !
Forward still —beyond Mozuma, past the Gwaai and Batoka,
Hauling fish-plates, dragging dog-spikes up the long Malundu
Hills;
Freight for Rail-Head. Hear the driver, likewise listen to the
stoker—
Space expires and Doubt collapses when the earnest White man
wills !
Shifting Rail-Head ever onwards towards old Memphis and
Assouan—
Drives his track for ever forward, wins his battle mile by mile ;
While the bones of Amenhotep moulder on in silent ruin,
He is reaching out for Cairo and he hustles towards the Nile !
Given lands to rule and work for—given strength that we may
use it,
Lo, we sleep beside our Rail-Head partly buried in the sand ;
We are careless of our Birthright, so we spurn it and refuse it,
And the hammer-haft has fallen from Australia’s nerveless
hand. - '
Yet _ the Heritage is calling: “Shift your Rail-Head, shift it
faster ;
Drive the spikes and bolt the fish-plates, wield the crowbar and
the drill;
Link your Northland to your Southland lest ye waken ’mid
disaster—
See! Thy kinsman moves his Rail-Head from his distant
Broken Hill!
“ He is reaching out for Empire ; he is ever forward shifting,
He is toiling while ye slumber, sleeping precious years away;
On your broken road pile sand-drifts that the cynic winds are
lifting,
For the winds that scattered Pharaoh mock this sleeping land
to-day !
Wake, my people, wake and labor! Toil with hammer and
with spanner—
Be not laggards all and shiftless, paralysed in brain and thevv.
Lift the fallen Flag of Progress—raise the White Man’s proud
old banner,
Shift your Rail-head, shift it nor’ward. Face your Task and
See It Through.”
VICTORIA.
GRANT HERVEY.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-655419188/image?WID=500"", ""width"": 250}",nla.obj-655419188,1913-04-24,1732,nla.obj-655413138,7,https://nla.gov.au/nla.obj-655419188,https://nla.gov.au/nla.obj-655419188/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vot. 34.—N0. 1732.
THURSDAY, APRIL *24. 1913.
Pmou 6u.
THE MASSIVE CIRCLE.
JOKE COOK: “Let’s all crowd round the dear little thing; and hide him till alter the elections.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-664090996/image?WID=500"", ""width"": 250}",nla.obj-664090996,1901-11-30,1137,nla.obj-664016230,7,https://nla.gov.au/nla.obj-664090996,https://nla.gov.au/nla.obj-664090996/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission as a Newspaper.
Vol. [22.—No. 1137.
SATURDAY, NOVEMBER 30, 1901.
Price 6d.
*THE AUSTRALIAN
DOG “BUSHIE.”
Mr. F. M. Rothery, secre-
tary to the Animals’ Protec-
tion Society, has received t
the following letter from
Lord Roberts : “ War Office,
October 17, 1901.—Dear
Sir,—ln reply to your letter
of September 10, inquiring
as to what became of the
Australian dog Bushie, it is
with much pleasure I have
to inform you that Bushie
was duly handed over to
one of her late Majesty the
Queen’s household at Os-
borne on ray arrival here
from South Africa on Janu-
ary 2.— Roberts, F-M.""’
gf
Ox v. x. -""x OOONxxXS
”The much self-advertised Melba is
about to make a sentimental journey to
the land of her birth, and will sing a few
songs to the cherished friends of her
childhood at'what are believed to be very
advantageous terms indeed. i
, So poor “Busbie” is now probably
kicking about under foot at Osborne „
House feeling very much in the way, j
add,' like many.of his former comrades- j
in-arms, curses the day he ever left
Australia, 1’ I I n , | r 1 1 ‘
\\ l n
j/uty [a
> Martian Astronomer: “Hello! what's
been and happened to the earth ? That
bigheaded object that I haven’t been
able to keep my eyes off is moving
eouth’ard, and the earth seems to be tip-
ping over that way ! ”
or y>\
frsY* 1
11 V s l S dljat pronjijt.) ti b&iutjt, affanjtliur
SHU m tywrcii- Street' Soot] . Ijjm ij a din] fradikoq
'that 1(}Mo h)us oytf a Mice far w w N-5-K)•
A GENTLE REMINDED.
Aveeage Citizen : “ Bv--
tlie-bye, what about that bridge you promised ? ” J
O’Suwjvan Bridge ! What bridge? I’ve promised .so many i cau t
be expected'- to, remember all the bridges I’ve promised ”
✓ / ✓
CARTOONLETS.
"
